episode,reward,avg_reward,agent_steps,total_steps,epsilon,avg_loss,duration_sec
30201,-10000.0,-10000.0,122,261,0.31196576235924545,3339399.4502118644,6.288933992385864
30202,-10000.0,-10000.0,21,37,0.3119435071226181,3874099.9625,1.8584251403808594
30203,-10000.0,-10000.0,6,11,0.311937148912778,6544219.162790698,0.5600376129150391
30204,-10000.0,-10000.0,113,246,0.3118174382450905,2056322.0475,11.079935789108276
30205,-10000.0,-10000.0,50,105,0.3117644905042726,3882574.08359375,5.506930828094482
30206,-10000.0,-10000.0,47,100,0.31171473169589303,3728428.3671875,4.8387439250946045
30207,-10000.0,-10000.0,44,95,0.3116681595780407,3283602.39375,5.416487455368042
30208,50000.0,-2500.0,142,293,0.3115179285230758,2571440.23359375,16.317755699157715
30209,-10000.0,-3333.3333333333335,5,10,0.3115126406409615,2442703.92609375,0.6888213157653809
30210,-10000.0,-4000.0,24,48,0.31148726064691473,2267872.108125,2.9937756061553955
30211,-10000.0,-4545.454545454545,51,102,0.3114333382708449,2327829.53703125,5.937306880950928
30212,-10000.0,-5000.0,14,26,0.31141853845516554,2996979.593359375,1.549086332321167
30213,-10000.0,-5384.615384615385,15,29,0.31140268265938115,3460671.076484375,1.747689962387085
30214,-10000.0,-5714.285714285715,3,6,0.31139951164292395,3767582.615546875,0.36327242851257324
30215,-10000.0,-6000.0,95,202,0.3112991207196254,2203979.25015625,10.755416870117188
30216,-10000.0,-6250.0,5,10,0.3112938383076379,2013540.10046875,0.6324818134307861
30217,-10000.0,-6470.588235294118,6,11,0.31128749958756985,1665486.92359375,0.7321622371673584
30218,-10000.0,-6666.666666666667,10,24,0.3112769354766955,2148539.20296875,1.4138848781585693
30219,-10000.0,-6842.105263157895,6,10,0.3112705972637049,2094252.35203125,0.838698148727417
30220,-10000.0,-7000.0,3,6,0.3112674282285137,2026168.31328125,0.45200634002685547
30201,-10000.0,-10000.0,5,10,0.3120897986072908,0.0,0.09925293922424316
30202,-10000.0,-10000.0,62,127,0.31202406095958435,47045847.5,1.0871250629425049
30203,-10000.0,-10000.0,4,8,0.3120198205207697,36541775.25,0.5095064640045166
30204,-10000.0,-10000.0,18,35,0.31200073959557734,17373595.298076924,2.4657440185546875
30205,50000.0,2000.0,75,160,0.3119212542226679,6577048.6646875,8.363428354263306
30206,-10000.0,0.0,38,78,0.311880993009302,3043738.240625,4.235820055007935
30207,-10000.0,-1428.5714285714287,45,91,0.3118333251487103,2447599.84625,4.853778839111328
30208,-10000.0,-2500.0,88,192,0.3117401389881036,3411845.746875,10.417153596878052
30209,-10000.0,-3333.3333333333335,8,14,0.311731669551934,3728068.24,0.9538829326629639
30210,50000.0,2000.0,34,71,0.31169567822745936,5237511.31125,3.755655288696289
30211,-10000.0,909.0909090909091,3,6,0.3116925028161016,5236262.65,0.38320374488830566
30212,-10000.0,0.0,8,17,0.31168403528534067,6337201.3375,1.0321037769317627
30213,-10000.0,-769.2307692307693,46,95,0.3116353535558386,7412282.77375,5.219627380371094
30214,-10000.0,-1428.5714285714287,51,110,0.3115813934208914,6645889.988125,5.758543491363525
30215,-10000.0,-2000.0,5,11,0.3115761039521745,5983744.5775,0.56410813331604
30216,-10000.0,-2500.0,12,19,0.3115634097667668,5973329.591875,1.3611125946044922
30217,-10000.0,-2941.176470588235,12,25,0.3115507163429873,5897714.274375,1.4482066631317139
30218,-10000.0,-3333.3333333333335,30,60,0.31151898611536244,4442323.6046875,3.345517158508301
30219,-10000.0,-3684.2105263157896,15,29,0.311503122786286,4023492.41,1.6276533603668213
30220,-10000.0,-4000.0,70,131,0.3114291096463659,3203847.386875,7.685447454452515
30221,-10000.0,-4285.714285714285,1,2,0.3114280525034605,3196541.810625,0.13254928588867188
30222,-10000.0,-4545.454545454545,3,5,0.3114248811064585,3189361.7271875,0.3521554470062256
30223,-10000.0,-4782.608695652174,75,155,0.31134561163999747,4141633.8503125,7.945162773132324
30224,50000.0,-2500.0,35,77,0.3113086293940014,2819295.0684375,3.9077229499816895
30225,-10000.0,-2800.0,6,12,0.3113022902302075,2731496.2509375,0.7409827709197998
30226,-10000.0,-3076.923076923077,8,17,0.3112938383076379,2499048.75828125,1.039424180984497
30227,-10000.0,-3333.3333333333335,22,45,0.3112705972637049,2425979.08015625,2.5487945079803467
30228,-10000.0,-3571.4285714285716,11,24,0.31125897770039623,2115339.08296875,1.3136026859283447
30229,-10000.0,-3793.103448275862,1,2,0.31125792140814856,2230153.36171875,0.11954045295715332
30230,-10000.0,-4000.0,134,292,0.3111164260070575,912457.983125,15.570281744003296
30231,-10000.0,-4193.548387096775,13,26,0.3111027038853409,1401697.5321875,1.7995131015777588
30232,-10000.0,-4375.0,46,90,0.3110541558466857,3023687.73015625,5.838217258453369
30233,-10000.0,-4545.454545454545,23,43,0.31102988601430537,4193292.01421875,2.928220272064209
30234,-10000.0,-4705.882352941177,11,21,0.3110182796897515,4615710.25015625,1.4765796661376953
30235,-10000.0,-4857.142857142857,1,2,0.3110172246009908,4628672.52609375,0.14221644401550293
30236,-10000.0,-5000.0,1,2,0.31101616951750544,4639631.28484375,0.13748550415039062
30237,-10000.0,-5135.135135135135,163,341,0.31084426140142146,609753.692109375,20.951606035232544
30238,-10000.0,-5263.1578947368425,33,70,0.3108094749682499,1096197.45609375,4.165435075759888
30239,-10000.0,-5384.615384615385,26,52,0.31078207151776693,1598832.0709375,2.9875247478485107
30240,-10000.0,-5500.0,162,337,0.31061140716823016,523374.037265625,18.45469045639038
30241,-10000.0,-5609.756097560976,65,132,0.3105429695826105,2145144.9975,7.669713973999023
30242,50000.0,-4285.714285714285,110,227,0.31042720278812685,1535799.898125,12.374117612838745
30243,-10000.0,-4418.604651162791,2,4,0.3104250985266203,1503115.9190625,0.24100041389465332
30244,50000.0,-3181.818181818182,168,355,0.31024841566105044,936039.93859375,18.536282539367676
30245,-10000.0,-3333.3333333333335,34,72,0.3102126764683055,656303.0209375,3.848229169845581
30246,-10000.0,-3478.2608695652175,4,7,0.31020847225681847,670815.0109375,0.45987629890441895
30247,-10000.0,-3617.021276595745,29,58,0.3101779942380509,782958.053125,3.559595823287964
30248,-10000.0,-3750.0,29,58,0.3101475206382758,2229724.06640625,3.314418077468872
30249,-10000.0,-3877.5510204081634,9,17,0.31013806421261825,2628139.27890625,1.1111688613891602
30250,-10000.0,-4000.0,14,26,0.3101233550629496,3850870.97390625,1.8556034564971924
30251,-10000.0,-4117.64705882353,66,129,0.31005402579573704,5052858.45,8.191507816314697
30252,-10000.0,-4230.7692307692305,15,30,0.3100382723345646,5056462.463125,1.8800628185272217
30253,-10000.0,-4339.622641509434,29,51,0.3100078189929967,4361290.1725,3.4670534133911133
30254,-10000.0,-4444.444444444444,58,118,0.3099469255554639,4513668.575,6.95598840713501
30255,-10000.0,-4545.454545454545,2,2,0.3099448260967057,4502089.005625,0.22977972030639648
30256,-10000.0,-4642.857142857143,52,104,0.30989024753744066,4267526.73,7.004059076309204
30257,-10000.0,-4736.8421052631575,24,43,0.30986506221888555,3242867.563125,3.0649282932281494
30258,50000.0,-3793.103448275862,168,341,0.30968884958628873,2237692.366875,19.023200750350952
30259,-10000.0,-3898.3050847457625,29,57,0.3096584469073461,1748619.3525,3.362940788269043
30260,-10000.0,-4000.0,73,149,0.3095819355383993,1816496.389375,8.568766117095947
30261,-10000.0,-4098.360655737705,14,28,0.30956726531637535,1852449.034375,1.810861349105835
30262,-10000.0,-4193.548387096775,1,2,0.3095662174826683,1839935.13875,0.12278223037719727
30263,-10000.0,-4285.714285714285,4,8,0.3095620262002316,1833471.526875,0.5169970989227295
30264,-10000.0,-4375.0,42,89,0.30951802279524887,3044363.085625,5.093554496765137
30265,-10000.0,-4461.538461538462,2,4,0.30951592762549673,3199331.025625,0.26717185974121094
30266,-10000.0,-4545.454545454545,39,72,0.30947507600277246,4016781.5525,4.59890341758728
30267,-10000.0,-4626.865671641791,105,199,0.3093651304511036,3156245.86875,12.878476619720459
30268,-10000.0,-4705.882352941177,13,22,0.30935152215989853,2867007.105625,1.6698668003082275
30269,-10000.0,-4782.608695652174,9,18,0.3093421015533665,2737394.4375,1.3104865550994873
30270,-10000.0,-4857.142857142857,16,31,0.30932535485511914,2635521.3459375,2.096219539642334
30271,-10000.0,-4929.577464788732,41,83,0.30928244755552237,3143862.139375,5.168498754501343
30272,-10000.0,-5000.0,36,75,0.30924478010513456,2762222.534375,3.98995304107666
30273,-10000.0,-5068.493150684932,2,3,0.3092426876677957,2764394.825625,0.2367842197418213
30274,-10000.0,-5135.135135135135,85,173,0.3091537784200903,3128369.3765625,9.46475338935852
30275,-10000.0,-5200.0,12,21,0.3091412295698544,3125532.3778125,1.3245704174041748
30276,-10000.0,-5263.1578947368425,2,4,0.30913913816801575,3093804.4596875,0.22687387466430664
30277,-10000.0,-5324.675324675325,1,2,0.30913809247493906,3096215.7903125,0.11253142356872559
30278,-10000.0,-5384.615384615385,39,70,0.309097314522886,2301274.94125,4.42773175239563
30279,-10000.0,-5443.037974683544,12,23,0.3090847690603823,2296362.5315625,1.4734156131744385
30280,-10000.0,-5500.0,12,24,0.3090722243505837,2474783.2609375,1.6290266513824463
