Tournament,Step,PlayerID,Action,StepReward,ObservationDict,AgentPosition,IsRFIOpportunity,RaiserPosition
1,2,1,all_in,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3C"", ""2S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 9950, ""3"": 9900, ""4"": 10000, ""5"": 10000}, ""stage"": ""preflop""}",N/A,False,3
2,2,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KS"", ""5C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 9900, ""3"": 10000, ""4"": 10000, ""5"": 10000}, ""stage"": ""preflop""}",N/A,False,2
2,5,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2C"", ""KC""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 10000.0, ""3"": 9900, ""4"": 10000, ""5"": 10000}, ""stage"": ""preflop""}",N/A,False,3
2,8,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""JD"", ""TS""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 10000.0, ""3"": 10000.0, ""4"": 9900, ""5"": 10000}, ""stage"": ""preflop""}",N/A,False,4
2,14,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""AS"", ""4D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 250, ""small_blind"": 50, ""stacks"": {""0"": 10000.0, ""1"": 9850, ""2"": 10000.0, ""3"": 9900.0, ""4"": 10000.0, ""5"": 10000.0}, ""stage"": ""preflop""}",N/A,False,1
2,17,1,all_in,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2S"", ""3H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000.0, ""1"": 9800, ""2"": 9900.0, ""3"": 10150.0, ""4"": 10000.0, ""5"": 10000.0}, ""stage"": ""preflop""}",N/A,False,2
2,20,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""6D"", ""3S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 9800, ""2"": 9850.0, ""3"": 10050.0, ""4"": 10000.0, ""5"": 10000.0}, ""stage"": ""preflop""}",N/A,False,3
2,23,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""6S"", ""4S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 250, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 9800, ""2"": 9850.0, ""3"": 10150.0, ""4"": 9900.0, ""5"": 9900.0}, ""stage"": ""preflop""}",N/A,False,4
2,29,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""7C"", ""8C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10100.0, ""2"": 9850.0, ""3"": 10150.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,1
2,30,1,None,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""7C"", ""8C""], ""legal_actions"": [], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 0, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10250.0, ""2"": 9850.0, ""3"": 10150.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,1
2,31,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""5D"", ""4S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10200.0, ""2"": 9750.0, ""3"": 10150.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,2
2,34,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""8S"", ""JH""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10200.0, ""2"": 9850.0, ""3"": 10050.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,3
