episode,reward,avg_reward,steps,epsilon
1,-10000.0,-10000.0,9,0.9999595009112363
2,-10000.0,-10000.0,5,0.9999370022049485
3,-10000.0,-10000.0,4,0.9999190036448906
4,-10000.0,-10000.0,1,0.9999145040611214
5,-10000.0,-10000.0,8,0.999878508200881
6,-10000.0,-10000.0,2,0.9998695094607927
7,-10000.0,-10000.0,3,0.9998560115193856
8,-10000.0,-10000.0,3,0.9998425137804462
9,-10000.0,-10000.0,6,0.9998155189099578
10,50000.0,-4000.0,7,0.9997840259179265
11,-10000.0,-4545.454545454545,3,0.9997705292587629
12,-10000.0,-5000.0,2,0.9997615315984588
13,-10000.0,-5384.615384615385,3,0.9997480352767074
14,-10000.0,-5714.285714285715,1,0.9997435365477779
15,-10000.0,-6000.0,2,0.9997345391573994
16,-10000.0,-6250.0,3,0.9997210432405317
17,-10000.0,-6470.588235294118,2,0.9997120460750851
18,50000.0,-3333.3333333333335,6,0.9996850551185693
19,50000.0,-526.3157894736842,8,0.999649068436103
20,-10000.0,-1000.0,3,0.9996355738012865
21,50000.0,1428.5714285714287,5,0.9996130831930752
22,-10000.0,909.0909090909091,5,0.9995905931471222
23,-10000.0,434.7826086956522,1,0.9995860952054012
24,-10000.0,0.0,1,0.99958159728617
25,50000.0,2000.0,7,0.9995501124812524
26,-10000.0,1538.4615384615386,1,0.9995456147419343
27,-10000.0,1111.111111111111,2,0.999536619330764
28,-10000.0,714.2857142857143,12,0.9994826487527377
29,-10000,344.82758620689657,1,0.9994781513507374
30,-10000.0,0.0,11,0.9994286814128489
31,-10000.0,-322.5806451612903,2,0.999419687171006
32,-10000.0,-625.0,2,0.9994106930191052
33,-10000.0,-909.0909090909091,5,0.9993882080328432
34,50000.0,588.2352941176471,4,0.9993702204485589
35,-10000.0,285.7142857142857,4,0.9993522332240229
36,-10000.0,0.0,12,0.9992982737088311
37,-10000.0,-270.27027027027026,1,0.9992937772287037
38,-10000.0,-526.3157894736842,1,0.9992892807710587
39,-10000.0,-769.2307692307693,2,0.9992802879232153
40,-10000.0,-1000.0,1,0.9992757915330167
41,-10000.0,-1219.5121951219512,10,0.999230828867516
42,-10000.0,-1428.5714285714287,4,0.9992128444307837
43,-10000.0,-1627.906976744186,3,0.9991993563392781
44,-10000.0,-1818.1818181818182,4,0.9991813725319901
45,-10000.0,-2000.0,2,0.9991723807632236
46,-10000.0,-2173.913043478261,7,0.9991409102806337
47,-10000.0,-2340.425531914894,7,0.9991094408994912
48,-10000.0,-2500.0,4,0.9990914588904939
49,-10000.0,-2653.061224489796,9,0.9990510006851602
50,50000.0,-1600.0,8,0.999015039364364
51,-10000.0,-1764.7058823529412,3,0.9990015542399122
52,-10000.0,-1923.076923076923,4,0.9989835743886266
53,-10000.0,-2075.4716981132074,1,0.9989790794819919
54,-10000.0,-2222.222222222222,8,0.9989431210379863
55,-10000.0,-2363.6363636363635,8,0.9989071640322896
56,-10000.0,-2500.0,1,0.9989026695077059
57,-10000.0,-2631.5789473684213,1,0.9988981750055946
58,-10000.0,-2758.6206896551726,2,0.9988891860687893
59,-10000.0,-2881.35593220339,4,0.9988712084648446
60,-10000,-3000.0,1,0.998866714120038
61,-10000.0,-3114.754098360656,2,0.9988577254978401
62,-10000.0,-3225.8064516129034,3,0.9988442427330786
63,-10000.0,-3333.3333333333335,4,0.9988262660279916
64,50000.0,-2500.0,10,0.9987813258382043
65,50000.0,-1692.3076923076924,15,0.9987139197665257
66,-10000,-1818.1818181818182,1,0.9987094262081608
67,-10000.0,-1940.2985074626865,2,0.9987004391588341
68,50000.0,-1176.4705882352941,6,0.9986734785500704
69,-10000.0,-1304.3478260869565,2,0.9986644918602184
70,-10000.0,-1428.5714285714287,6,0.9986375323298576
71,-10000.0,-1549.2957746478874,3,0.9986240528679688
72,-10000.0,-1666.6666666666667,3,0.9986105736082705
73,-10000.0,-1780.8219178082193,2,0.9986015875474648
74,-10000.0,-1891.8918918918919,1,0.9985970945507596
75,-10000.0,-2000.0,2,0.9985881086247438
76,50000.0,-1315.7894736842106,10,0.998543180342529
77,-10000.0,-1428.5714285714287,3,0.9985297022959094
78,-10000.0,-1538.4615384615386,13,0.9984712997633631
79,-10000.0,-1645.5696202531647,6,0.9984443460286782
